Name,Value.1. open,Value.2. high,Value.3. low,Value.4. close,Value.5. volume
2018-08-21 15:59:00,215.2600,215.4000,215.0300,215.0300,384180
2018-08-21 15:58:00,215.1800,215.2900,215.1800,215.2500,113405
2018-08-21 15:57:00,215.0850,215.1900,215.0700,215.1900,90605
2018-08-21 15:56:00,215.0900,215.1228,215.0675,215.1000,76394
2018-08-21 15:55:00,214.9700,215.1100,214.9700,215.0800,130059
2018-08-21 15:54:00,214.9200,214.9600,214.8700,214.9600,59862
2018-08-21 15:53:00,214.8200,214.9100,214.8200,214.9100,57595
2018-08-21 15:52:00,214.8500,214.8800,214.8200,214.8300,50728
2018-08-21 15:51:00,214.8800,214.9201,214.8500,214.8700,57980
2018-08-21 15:50:00,214.8100,214.9000,214.6500,214.8682,164314
2018-08-21 15:49:00,214.9400,214.9500,214.8100,214.8100,104926
2018-08-21 15:48:00,214.9600,215.0800,214.9300,214.9600,68495
2018-08-21 15:47:00,214.9700,215.0582,214.9400,214.9400,47929
2018-08-21 15:46:00,215.1380,215.1380,214.9800,214.9800,81746
2018-08-21 15:45:00,215.1300,215.1300,214.9010,215.1300,230985
2018-08-21 15:44:00,215.1700,215.2200,215.1400,215.1400,30473
2018-08-21 15:43:00,215.2266,215.2500,215.1400,215.1500,58758
2018-08-21 15:42:00,215.2500,215.2700,215.1450,215.1800,59395
2018-08-21 15:41:00,215.1500,215.2600,215.1400,215.2600,43708
2018-08-21 15:40:00,215.2950,215.3000,215.1600,215.1600,49199
2018-08-21 15:39:00,215.2498,215.3200,215.2001,215.3200,39272
2018-08-21 15:38:00,215.2700,215.2700,215.1900,215.2200,75017
2018-08-21 15:37:00,215.4125,215.4125,215.2700,215.2700,50879
2018-08-21 15:36:00,215.3650,215.4300,215.3600,215.4100,46635
2018-08-21 15:35:00,215.3200,215.3800,215.3200,215.3500,59399
2018-08-21 15:34:00,215.2900,215.3100,215.2650,215.3000,30218
2018-08-21 15:33:00,215.3150,215.3150,215.2600,215.2800,41252
2018-08-21 15:32:00,215.2300,215.3400,215.2300,215.3167,57328
2018-08-21 15:31:00,215.0800,215.2400,215.0800,215.2056,61247
2018-08-21 15:30:00,215.1600,215.1800,215.1100,215.1100,51664
2018-08-21 15:29:00,215.2300,215.2400,215.1400,215.1400,50031
2018-08-21 15:28:00,215.3400,215.3400,215.1950,215.1950,70810
2018-08-21 15:27:00,215.4064,215.4064,215.3400,215.3400,36631
2018-08-21 15:26:00,215.4338,215.4338,215.3800,215.4100,42480
2018-08-21 15:25:00,215.3737,215.4400,215.3550,215.4400,33826
2018-08-21 15:24:00,215.3470,215.4150,215.3470,215.3800,45441
2018-08-21 15:23:00,215.2984,215.3469,215.2984,215.3339,23340
2018-08-21 15:22:00,215.2300,215.2923,215.2300,215.2900,29308
2018-08-21 15:21:00,215.2100,215.2100,215.1199,215.1900,33204
2018-08-21 15:20:00,215.2900,215.2900,215.1000,215.2500,97334
2018-08-21 15:19:00,215.4100,215.4200,215.2700,215.2974,52043
2018-08-21 15:18:00,215.3699,215.4100,215.3600,215.4100,37542
2018-08-21 15:17:00,215.3000,215.3800,215.2950,215.3450,41915
2018-08-21 15:16:00,215.2800,215.3700,215.2500,215.3000,65451
2018-08-21 15:15:00,215.3800,215.3900,215.2300,215.2600,250345
2018-08-21 15:14:00,215.4100,215.4290,215.3800,215.3800,45257
2018-08-21 15:13:00,215.5300,215.5300,215.4250,215.4250,32272
2018-08-21 15:12:00,215.5701,215.5900,215.5150,215.5300,35503
2018-08-21 15:11:00,215.6400,215.6450,215.5700,215.5700,24134
2018-08-21 15:10:00,215.5700,215.6323,215.5700,215.6100,43831
2018-08-21 15:09:00,215.5250,215.5500,215.4989,215.5400,47842
2018-08-21 15:08:00,215.6400,215.6500,215.5000,215.5090,46075
